Rank,Operator,Country,SQI,Registered Roamers,Voice SSI,Data SSI,Reg SSI,SMS SSI,Steering Config
149,"Sunrise Communications AG-CHEDX(228,02)",Switzerland,4.705882352941177,10,-,10,7.6625,-,-
150,"Telia Company AB-SWETR(240,01)",Sweden,4.1499999999999995,-,-,-,-,-,-
151,"Bharti Airtel Ltd. Gujarat-INDA3(404,98)",India,3.91304347826087,2,0,5,-,10,-
152,"Kyivstar GSM JSC-UKRKS(255,02)",Ukraine,3.9,-,-,-,12.5,-,-
153,"Polska Telefonia Cyfrowa-POL02(260,02)",Poland,3.6363636363636362,1,-,0,10,-,-
154,"Vodafone Malta Limited-AAZOV(278,01)",Malta,3.5483870967741935,1,-,10,5,-,-
155,"AT&T Maritime-BMU01(901,18)",United States of America,3.1611721611721606,7,-,-,10.546875,0,-
156,"Viettel Corporation-VNMK8(452,04)",Vietnam,3.166666666666666,2,-,0,7.1,10,-
157,"France Telecom Espana SA-ESPRT(214,03)",Spain,3.1270230505149583,3,-,10,0.3431372549019608,-,-
158,"Orange France-FRAF1(208,01)",France,3.021428571428572,4,-,-,5.625,-,-
159,"Telia Norge AS-NORNC(242,02)",Norway,3.0000000000000004,-,-,-,-,-,-
160,"Digicel Guyana-GUYK9(738,01)",Guyana,2.758620689655172,2,-,0,10,-,-
161,"Vodafone Ghana-GHAGT(620,02)",Ghana,2.571428571428571,1,-,2.5,-,-,-
162,"Telefonica Movil de Chile-CHLB2(730,02)",Chile,1.8108640585420772,11,-,7.222222222222222,2.955801104972376,3.3333333333333335,-
163,"SFR-FRA09(208,09)",France,1.4805725971370143,15,-,4.166666666666667,2.6841121495327105,0,-
164,"Telefonica Moviles Panama S.A.-PANMS(714,020)",Panama,1.2136752136752138,1,-,10,0.5555555555555556,-,-
165,"Telefonica Celular De Bolivia S.A.-BOLK9(736,03)",Bolivia,1.1262714836899332,7,-,6.5,0.7241379310344828,10,-
166,"Taiwan Mobile Co.Ltd-TWNOC(466,97)",Taiwan,0.8906250000000001,1,-,-,3.125,-,-
167,"Telefonica Moviles Espana S.A.-ESPT2(214,05)",Spain,0.8324324324324325,4,7.1,5,1.4000000000000001,10,-
168,"Emirates Telecom Corp Etisalat-ARETC(424,02)",United Arab Emirates,0.41250000000000003,-,-,-,0,-,-
169,"Telefonica de Costa Rica TC S.A.-CRITC(712,04)",Costa Rica,0.3923076923076923,-,-,-,1.9384615384615385,-,-
170,"Entel Telefonia Movil S.A.-CHLK9(730,01)",Chile,0.3120810155469976,10,-,5,0.6410256410256411,7.65,-
171,"TIM Celular S.A.-BRACS(724,02)",Brazil,0.17437722419928825,2,-,7.5,0.2967741935483871,-,-
172,"Telefonica Moviles S.A.-PERMO(716,06)",Peru,0.10152284263959391,2,-,-,0.4878048780487805,-,-
173,"Telstra Corporation Limited-AUSTA(505,01)",Australia,0.12307692307692308,-,-,-,0,-,-
174,"Entel SA-BOLME(736,02)",Bolivia,0.03487792725460887,2,-,-,0.1477832512315271,10,-
175,"Telefonica Celular Del Paraguay S.A.-PRYK8(744,04)",Paraguay,0.044740727484228894,1,-,4,0.06627906976744186,-,-
176,"Telefonica Moviles Argentina S.A-ARG01(722,010)",Argentina,0.018148820326678767,1,-,-,0.09009009009009009,-,-
177,"Telecom Italia SpA-ITASI(222,01)",Italy,0,1,-,-,0,-,-
178,"Vietnamobile Telecommunications JSC-VNMK9(452,05)",Vietnam,0,-,-,-,0,-,-
179,"SmarTone Mobile Communications Limited-HKGSM(454,06)",Hong Kong,0,-,-,-,0,-,-
180,"Digicel S.A. de C.V.-SLVDC(706,02)",El Salvador,0,-,-,-,0,-,-
181,"Cyprus Telecommunications Auth-CYPCT(280,01)",Cyprus,0,-,-,-,0,-,-
182,"Liberty Mobile P R-PRI01(313,790)",United States of America,0,-,-,-,0,-,-
183,"Telefonica Moviles-URYTM(748,07)",Uruguay,0,-,-,-,0,-,-
184,"Flow St Kitts & Nevis Limited-KNACW(356,110)",Saint Kitts and Nevis,0,-,-,-,0,-,-
185,"Avea Iletisim Hizmetleri A.S.-TURAC(286,04)",Turkey,0,-,-,-,0,-,-
186,"VM S.A.R.L.-MOZOV(643,04)",Mozambique,0,-,-,-,0,-,-
187,"Antel Uruguay-URYAN(748,01)",Uruguay,0,-,-,-,0,-,-
188,"Magticom Ltd-GEOK9(282,02)",Georgia,0,-,-,-,-,-,-
189,"CWCC (St. Vincent & the Grenadines) Ltd-VCTCW(360,110)",Saint Vincent and the Grenadines,0,-,-,-,0,-,-
190,"Telekom Albania Sh.A.-ALBAM(276,01)",Albania,0,-,-,-,0,-,-
191,"Cosmo Bulgaria Mobile EAD-BGRCM(284,05)",Bulgaria,0,-,-,-,0,-,-
192,"China Unicom-CHNCC(460,01)",China,0,-,-,-,0,-,-
193,"SETAR (Servicio di Telecomunicacion di Aruba)-ABWK9(363,01)",Aruba,0,-,-,-,0,-,-
194,"Nextel del Peru S.A.-PERK9(716,17)",Peru,0,-,-,-,0,-,-
195,"Setel NV-ANTK8(362,91)",Netherlands Antilles,0,-,-,-,0,-,-
196,"Smart Communications Inc-PHLSR(515,03)",Philippines,0,-,-,-,0,-,-
197,"Telefonia Celular de Nicaragua S.A.-NICMS(710,300)",Nicaragua,0,-,-,-,0,-,-
198,"Vietnam Mobile Telecom Services Company-VNMK7(452,01)",Vietnam,0,-,-,-,0,-,-
199,"Mobilink PMCL-PAKMK(410,01)",Pakistan,0,-,-,-,0,-,-
200,"Orascom Telecom Algerie Spa-DZAOT(603,02)",Algeria,0,-,-,-,0,-,-
201,"Telenor Pakistan (Pvt) Ltd.-PAKTP(410,06)",Pakistan,0,-,-,-,0,-,-
202,"I.C.E. (Instituto Costarricense de Electricidad)-CRICR(712,01)",Costa Rica,0,-,-,-,0,-,-
203,"Comcel Communicaciones Celulares Sociedad Anonima-GTMCM(704,02)",Guatemala,0,-,-,-,0,-,-
204,"Partner Communications Company Ltd-ISR01(425,01)",Israel,0,-,-,-,0,-,-
205,"PT Telekomunikasi Selular-IDNTS(510,10)",Indonesia,0,-,-,-,0,-,-
206,"Orange Dominicana S.A.-DOM01(370,01)",Dominican Republic,0,-,-,-,0,-,-
207,"LLC Ekaterinburg 2000-RUSEC(250,35)",Russia,0,-,-,-,0,-,-
208,"Colombia Movil SA-COLCO(732,111)",Colombia,0,-,-,-,0,-,-
209,"Etihad Etisalat Company-SAUET(420,03)",Saudi Arabia,0,-,-,-,0,-,-
210,"WOM S.A.-CHLK8(730,09)",Chile,0,-,-,-,0,-,-
211,"Telecomunicaciones Movilnet C.A.-VENMV(734,06)",Venezuela,0,-,-,-,0,-,-
212,"Asia Cell Telecommunications Company Ltd-IRQAC(418,05)",Iraq,0,-,-,-,0,-,-
213,"Freedom Mobile-CANGW(302,490)",Canada,0,-,-,-,0,-,-
214,"Globacom Ltd.-NGAGM(621,50)",Nigeria,0,-,-,-,0,-,-
215,"Sentel GSM S.A.-SENSG(608,02)",Senegal,0,-,-,-,-,-,-
216,"Videotron-CANVT(302,500)",Canada,0,-,-,-,0,-,-
217,"Hutchison Drei Austria GmbH-AUTCA(232,05)",Austria,0,-,-,-,0,-,-
218,"SK Telecom-KORSK(450,05)",South Korea,0,-,-,-,0,-,-
219,"Meteor Mobile Telecommunications Limited-IRLME(272,03)",Ireland,0,-,-,-,0,-,-
220,"Wana Corporate S.A.-MARM3(604,02)",Morocco,0,-,-,-,0,-,-
221,"MTS Uzbekistan-UZB07(434,07)",Uzbekistan,0,-,-,-,0,-,-
222,"Pakistan Telecommunciation Mobile Ltd-PAKUF(410,03)",Pakistan,0,-,-,-,0,-,-
223,"Robi-BGDAK(470,02)",Bangladesh,0,-,-,-,0,-,-
224,"Hi3G Access AB-SWEHU(240,02)",Sweden,0,-,-,-,0,-,-
225,"Vietnam Telecom Services Company (GPC)-VNMK6(452,02)",Vietnam,0,-,-,-,0,-,-
226,"Tele2 d.o.o za telekomunikacijske uluge-HRVT2(219,02)",Croatia,0,-,-,-,0,-,-
227,"Telefonica Celular S.A (Celtel)-HND02(708,02)",Honduras,0,-,-,-,0,-,-
228,"True Move H Universal Communication-THACA(520,00)",Thailand,0,-,-,-,0,-,-
229,"TDC A/S-DNKTD(238,01)",Denmark,0,-,-,-,0,-,-
230,"Free Mobile-FRAFM(208,15)",France,0,-,-,-,0,-,-
231,"Bharat Sanchar Nigam Ltd. West Bengal-INDWB(404,74)",India,0,-,-,-,0,-,-
232,"Be Aliv Limited-BHSNC(364,49)",Bahamas,0,-,-,-,0,-,-
233,"P4 Sp. z o.o-POLP4(260,06)",Poland,0,-,-,-,0,-,-
234,"Telecommunications Services of Trinidad and Tobago-TTO12(374,12)",Trinidad and Tobago,0,-,-,-,0,-,-
235,"MTN Mobile Telephone Networks (Pty) Ltd.-ZAFMM(655,10)",South Africa,0,-,-,-,0,-,-
236,"Orange S.A.-LUXVM(270,99)",Luxembourg,0,-,-,-,0,-,-
237,"Flow Grenada Ltd.-GRDCW(352,110)",Grenada,0,-,-,-,0,-,-
238,"Two Degrees Mobile Limited-NZLK9(530,24)",New Zealand,0,-,-,-,0,-,-
239,"AT&T Comunicaciones Digitales-AAZAT(334,090)",Mexico,0,-,-,-,0,-,-
240,"Claro",BUP,7.083284180724316,709,9.22,6.12333,15.333311518324614,6.121505376344086,-
241,"Nuevatel PCS De Bolivia SA",BUP,7.083284180724316,709,9.1222,5.56733,13.333311518324614,7.121505376344086,-
242,"AM Wireless Uruguay S.A.",BUP,7.083284180724316,709,9.1222,5.56733,13.333311518324614,7.121505376344086,-
243,"Claro",PAB,12.957446808510642,4,-,6.225,32.86363636363636,6.29999999999999,-
